color,condition,customerReviewAverage,customerReviewCount,description,features,longDescription,manufacturer,modelNumber,name,regularPrice,salePrice,shortDescription,sku,type,upc
Gray,New,4.8,269.0,,"[{'feature': '32-oz. capacity\nSo you have enough water on hand.'}, {'feature': 'Leakproof when spout is closed\nFor worry-free carting'}, {'feature': 'BPA-free Tritan material\nHelps ensure a stain-free design with high impact resistance.'}, {'feature': 'Dishwasher-safe design\nEnables easy maintenance.'}]","Chug your favorite protein shake from this 32-oz. BlenderBottle Pro32 shaker bottle. Its BPA-free plastic material is odor-resistant for a safe, pleasant drinking experience, and its flip-top lid with SpoutGuard protection prevents contact with germs. The BlenderBall wire whisk of this gray BlenderBottle Pro32 shaker bottle lets you prepare shakes with smooth, clump-free results.",BlenderBottle,C02971,BlenderBottle - Pro32 32-Oz. Water Bottle/Shaker Cup - Gray,14.99,12.99,,6137503,HardGood,847280034666
Gray,New,4.5,81.0,,"[{'feature': 'Advanced sleep tracking\nMonitor sleep cycles (deep, light & REM), track heart rate and detect snoring and breathing disturbances. Algorithms used to analyze the data have been validated with the help of a team of sleep experts.'}, {'feature': 'Better sleep\nEvery day, wake to a Sleep Score in the Health Mate app that shows you if your night was restorative'}, {'feature': 'Enhanced sleep environment\nControl lights, temperature, and other smart home devices via IFTTT integration just by getting into and out of bed'}, {'feature': 'Automatic Wi-Fi synchronization\nEasy one-time setup under the mattress makes Sleep fit seamlessly into your life&#8212;wake to all data in the app via Wi-Fi'}]","Featuring a simple one-time setup under the mattress, Sleep is a sensor that helps improve sleep quality by offering advanced sleep cycle analysis, heart rate tracking, and snore and breathing disturbances detection. Learn how to improve your nights with a daily Sleep Score. You can also create a better sleep environment by taking advantage of a range of smart home capabilities that Sleep can support.",Withings,WSM02-ALL-US,Withings - Sleep Tracking Mat - Gray,129.95,129.95,,6338635,HardGood,3700546703935
Gray,New,4.7,44.0,,"[{'feature': 'Xmount plate\n4.5"" diameter plate creates a rock-solid anchoring point for all TRX training products.'}, {'feature': 'Steel construction\nProvides reliability and durability of fastening.'}, {'feature': 'Extensive mounting options\nThis plate can be attached to most types of surfaces, such as solid walls, vertical wall framing, and overhead beams.'}]","Designate a fixed anchor point for a compatible suspension trainer with this TRX Xmount plate. The versatile design attaches onto secure surfaces such as solid walls, vertical wall framing, and overhead beams, and the steel construction provides durability. Install this 4.5-inch TRX Xmount plate easily with the included bolts and washers.",TRX,TRXXMOUNT3,TRX - Xmount Plate - Gray,39.99,14.99,,6366978,HardGood,847585006665
Gray,New,4.8,19.0,,"[{'feature': 'Product Details\nSize: 5 7/6"" (L) x 1 15/16"" (W) x 3/8"" (D)'}, {'feature': 'Anchors to load-bearing walls and holds up to 350 lbs (150 kg)'}, {'feature': 'Doubles as a picture frame hanger'}, {'feature': 'Includes mounting hardware & installation guide'}, {'feature': 'Easy to install'}]","Our 2 for 1 anchor solution. Instantly turn any room into a home gym with this sleek, camouflaged anchor that hangs your photos when not in use and attaches your favorite Suspension Trainer&#8482; straps when it's time to work out.",TRX,TRXINV-MOUNT,TRX - Invizi-Mount Plate - Gray,29.99,29.99,,6367028,HardGood,847585006719
Gray,New,3.6,21.0,,"[{'feature': 'Discover Your Running Potential\nNURVV Run, an award-winning sports smart wearable device, listens to your feet &#8211; providing insights and guidance into your running power, cadence, step length, footstrike, pronation and balance so you can run faster, further and reduce injury.'}, {'feature': '32 Precision Sensors Where it Matters Most\nCollecting data from the foot, these running shoe insoles have world-leading accuracy which can only be replicated in a sports lab; These insoles are super soft and light, they fit comfortably with any running shoe'}, {'feature': 'Real-Time Coaching\nThe NURVV smart insole wearables can measure performance in real-time with targeted audio, visual, and haptic feedback, telling you how to make every run a success whether you&#8217;re outdoors or on the treadmill'}, {'feature': 'In-App Features\nFootstrike visualization and coaching as you run, a bespoke Running Health score to manage injury, Pace Coach to guide you to a chosen pace and Power Workout which coaches you in interval style training through Power Zones led by dynamic audio and visual cues.'}, {'feature': 'Link NURVV to an Apple or Garmin Watch\nReap the benefits of your favorite smart watch with in-run guidance delivered straight from your feet to your wrist; The built-in GPS running trackers also link seamlessly to Strava'}, {'feature': 'Compatible with Heart rate monitors\nNURVV Run connects to your Bluetooth HR monitor to provide live HR zone cues during run and a comprehensive report on your heart rate after each run so you can manage your training more effectively.'}, {'feature': 'View and share fitness accomplishments\nView metric profiles to see how your technique changes with distance as you fatigue.  Share your runs on Strava with the Nurvv app.'}, {'feature': 'Synchronizes to select Apple and Android devices and works phone free\nCompatible with iPhone 6S or later, running iOS 12 or above, Apple Watch Series 3 or later, Android 6.0 phones or later, and Garmin ANT+.  Can also be used phone-free.'}, {'feature': 'Water-resistant design\nThe IP67-rated construction offers durability and comfort allowing you to run in any conditions.'}, {'feature': 'Bluetooth connectivity\nEnjoy seamless wireless connectivity using Bluetooth.'}]","Optimize your technique and run faster with NURVV Run. NURVV Run measures your running from the foot using 32 built-in sensors, capturing a range of unique running form metrics and generating personalized guidance and workouts to help you improve performance, stay healthy and fulfil your running potential.",NURVV,NR1-BG-SML-US,NURVV - Run Insole Activity Tracker GPS (Small) (US Women's 7-8/Men's 6-7) - Gray,299.99,194.99,,6397947,HardGood,810006360042
Gray,New,3.6,21.0,,"[{'feature': 'Discover Your Running Potential\nNURVV Run, an award-winning sports smart wearable device, listens to your feet &#8211; providing insights and guidance into your running power, cadence, step length, footstrike, pronation and balance so you can run faster, further and reduce injury.'}, {'feature': '32 Precision Sensors Where it Matters Most\nCollecting data from the foot, these running shoe insoles have world-leading accuracy which can only be replicated in a sports lab; These insoles are super soft and light, they fit comfortably with any running shoe'}, {'feature': 'Real-Time Coaching\nThe NURVV smart insole wearables can measure performance in real-time with targeted audio, visual, and haptic feedback, telling you how to make every run a success whether you&#8217;re outdoors or on the treadmill'}, {'feature': 'In-App Features\nFootstrike visualization and coaching as you run, a bespoke Running Health score to manage injury, Pace Coach to guide you to a chosen pace and Power Workout which coaches you in interval style training through Power Zones led by dynamic audio and visual cues.'}, {'feature': 'Link NURVV to an Apple or Garmin Watch\nReap the benefits of your favorite smart watch with in-run guidance delivered straight from your feet to your wrist; The built-in GPS running trackers also link seamlessly to Strava'}, {'feature': 'Compatible with Heart rate monitors\nNURVV Run connects to your Bluetooth HR monitor to provide live HR zone cues during run and a comprehensive report on your heart rate after each run so you can manage your training more effectively.'}, {'feature': 'View and share fitness accomplishments\nView metric profiles to see how your technique changes with distance as you fatigue.  Share your runs on Strava with the Nurvv app.'}, {'feature': 'Synchronizes to select Apple and Android devices and works phone free\nCompatible with iPhone 6S or later, running iOS 12 or above, Apple Watch Series 3 or later, Android 6.0 phones or later, and Garmin ANT+.  Can also be used phone-free.'}, {'feature': 'Water-resistant design\nThe IP67-rated construction offers durability and comfort allowing you to run in any conditions.'}, {'feature': 'Bluetooth connectivity\nEnjoy seamless wireless connectivity using Bluetooth.'}]","Optimize your technique and run faster with NURVV Run. NURVV Run measures your running from the foot using 32 built-in sensors, capturing a range of unique running form metrics and generating personalized guidance and workouts to help you improve performance, stay healthy and fulfil your running potential.",NURVV,NR1-BG-MED-US,NURVV - Run Insole Activity Tracker GPS (Medium) (US Women's 8.5-9.5/ Men's 7.5-8.5) - Gray,299.99,105.99,,6397952,HardGood,810006360035
Gray,New,4.5,2.0,,"[{'feature': 'Intended for use with select Omron blood pressure monitors\nIncluding BP710N, BP742N, BP5100, and BP7100 series.'}, {'feature': 'Adjustable arm cuff\nEnsures a comfortable feel, fits 7""-9"" arms in circumference.'}, {'feature': 'Air tube with plug\nProvides connection to the blood pressure monitor.'}]","Monitor your blood pressure with this Omron small D-ring cuff. The durable material offers long-lasting use, while the portable nature provides convenience on the go. This Omron small D-ring cuff is compatible with select Omron blood pressure monitor models and fits arms from 7"" to 9"" in circumference for flexible use.",Omron,CD-CS9,Small D-Ring Cuff for Select Omron Blood Pressure Monitors - Gray,29.99,20.99,,6398158,HardGood,073796343996
Gray,New,4.7,538.0,,"[{'feature': '1 Year JRNY Membership\nIncludes 1-Year JRNY Membership ($149 value; auto renews when trial ends unless cancelled 48 hours prior to trial end date).'}, {'feature': 'World Class Cycling Apps\nDesigned to work with the Peloton&#174; and Zwift&#174; apps, allowing you to stream thousands of classes directly into your home and compete against others in a virtual world that motivates you at every mile (subscriptions not included).'}, {'feature': 'Explore the World&#8482; app\nExplore the world and discover 50+ global routes that auto-adjust in real time to your speed (JRNY Membership required).'}, {'feature': 'Smooth Magnetic Resistance\n100 micro-adjustable resistance levels.'}, {'feature': 'Bluetooth&#174; Connectivity\nLets you set, track, and monitor progress with popular app-based tracking tools.'}, {'feature': 'Dual Link Pedals with Toe Cages\nUse standard toe cages or SPD clips based on your riding preferences.'}, {'feature': 'Adjustable Seat\nAdjustable race-style seat with fore/aft and height adjustment.'}, {'feature': 'Generous LCD DIsplay\nFull color backlit LCD console monitors heart rate, speed, time, distance, calories and RPMs.'}, {'feature': 'Additional Features\nEasy access cradles with set of 3 lb. dumbells, dual water bottle holders and integrated media rack.'}, {'feature': 'Monitor Heart Rate\nKeep track of your heart rate with Bluetooth-enabled heart rate armband.'}, {'feature': 'Premium Grip Handlebars\nExtra-large, dipped handlebars ensure you remain comfortable during long or intense rides.'}, {'feature': '330-lb. Weight Capacity\nFor a variety of users.'}]","The Schwinn IC4 Bike provides a premium, heart-pumping indoor cycling experience and features a 40 lb. flywheel with an intuitive resistance knob, 100 levels of magnetic resistance, a beautiful backlit LCD display, and easy-reach cradles for 3 lb. dumbbells. Digitally immerse yourself in a world of virtual races, exotic locales, and stunning trails from around the globe with connectivity to popular cycling apps like JRNY, Peloton, Zwift, and more. With the IC4, you&#8217;ll escape the everyday and stay on track for a life well-lived.",Schwinn,100873,Schwinn - IC4 Indoor Cycling Exercise Bike - Gray,999.99,999.99,,6405082,HardGood,708447913982
Gray,New,4.5,50.0,,"[{'feature': 'Quiet Operation\nSingle-stage belt drive keeps it running quietly'}, {'feature': 'Infinite Resistance\nProgressive wind resistance for infinite levels of challenge.'}, {'feature': 'Permiter Weighted Fan\nOptimized fan for easy start up and a smooth ride.'}, {'feature': 'Interval Training\nSimple-to-use LCD console with speed, distance, time, calories, and RevMeter&#8482; RMP gauge offers interval training.'}, {'feature': 'Versatile Pedals\nSelf-balancing foot pedals with foot straps and stationary foot rest pegs for isolating upper body exercises.'}, {'feature': 'Transport Wheels\nAllow for easy transportation and offer space-saving opportunities.'}, {'feature': 'Water Bottle Holder\nIntegrated water bottle holder to keep you hydrated during your workout'}, {'feature': 'Optional Accessories\nAirdyne AD6 Reading Rack and Wind Screen sold separately.'}, {'feature': '300-lb Weight Capacity\nFor a variety of users.'}]","For an intense, full-body cardio workout that builds strength and blasts calories, it&#8217;s hard to beat the Schwinn Airdyne AD6. Its signature wind-resistance technology puts you in control of your workout intensity &#8211; so the more you put in, the more you get out. The AD6 is loaded with features to keep you comfortable while staying on top of your training stats and biometric data.",Schwinn,100250,Schwinn - Airdyne AD6 Exercise Bike - Gray,799.99,599.99,,6405090,HardGood,708447906854
Gray,New,3.5,22.0,,"[{'feature': 'TENS technology\nHelps relieve muscle and joint pain fast and easy.'}, {'feature': ""Six preset programs\nAllow you to find the mode that's right for you and change it to achieve the highest level of performance.""}, {'feature': 'Wireless connection\nYou can control it via the app on Bluetooth-enabled devices.'}, {'feature': 'Rechargeable battery\nSuitable for recovery on the go.'}, {'feature': 'Carrying case included\nEnables easy storage and carrying.'}]","Enjoy portable pain management with this Compex Mini muscle stimulator. The six included programs ensure a customizable experience, while the six electrode pads allow for targeted stimulation to relax your problem areas. This Compex Mini muscle stimulator is rechargeable for long-lasting use.",Compex,CX192WI04,Compex - Mini Wireless Electronic Muscle Stimulator - Gray,249.99,237.99,TENS technology; wireless connection; 6 preset programs; rechargeable battery; carrying case included,6413828,HardGood,190446334088
Gray,New,4.4,37.0,,"[{'feature': 'Accurate and Reliable Readings\nThe Digital Pulse Oximeter comfortably clamps down on any finger while a small beam of light passes through the fingernail accurately measuring your blood oxygen saturation levels (SpO2) and pulse rate within 10 seconds.'}, {'feature': 'Real Time Data to Your Smartphone*\nReceive automatic vital sign data from the oximeter to your smartphone or tablet via Bluetooth with the OxiCare app for iOS and Android. Measure, track, and share your blood oxygen saturation level, pulse rate and perfusion index in real time. *when app is open'}, {'feature': 'Everyday Use\nLight weight and portable for use in the house and the outdoors. Features one button operation, long battery life and automatic shut off. Ideal for kids and adults interested in monitoring blood oxygen and pulse rate.'}, {'feature': 'Easy Reading\nClearly displays SPO2 Oxygen Level and Pulse on the 1-inch LCD Dual Color Display.'}, {'feature': 'Measurement Range\nOxygen Saturation Level 0-100% Pulse Rate 30-250 BPM'}]","Aluratek&#8217;s Bluetooth Digital Pulse Oximeter is a quick and accurate way to check your vitals signs. Measure, track, and share your blood oxygen saturation level (SpO2), pulse rate and perfusion index from your smartphone or tablet via the OxiCare app for iOS and Android. The oximeter easily expands and clamps down firmly on fingers of all sizes. Features a bright digital LED display for easy result reading. Small and compact design makes the oximeter perfect for home and outdoor use.",Aluratek,ABPM02F,Aluratek - Bluetooth Digital Pulse Oximeter-FDA Class I - Gray,79.99,39.99,,6418333,HardGood,812658014656
Gray,New,4.5,30.0,,"[{'feature': 'Take it with you\nKeep your Hyperice Hypervolt Massage Device and its accessories in one place at home or while traveling.'}, {'feature': 'Safe and secure\nFoam cutouts cushion and protect your massage device and its various accessories.'}, {'feature': 'Extra storage\nZippered, multi-functional pocket stores power cords and other extras.'}, {'feature': 'Water repellent\nHelps keeps your massage device and accessories safe from water damage.'}, {'feature': 'Modern look\nSleek gray design looks great.'}]","You love your massage equipment and want to keep it in good working condition. Keep it safe and secure with this Insignia NS-HPVCGR1 Carrying Case for the Hyperice Hypervolt Massage Device. Foam cutouts cushion your massage device and its massager heads, keeping them shielded from impact damage. The case is water-repellent, providing extra protection against water damage. A zippered pocket stores power cords and other accessories, letting you keep everything you need in one place. All of that combined with a sleek, modern look makes this carrying case the best way to keep your massage device protected for years to come.",Insignia™,NS-HPVCGR1,Insignia™ - Carrying Case for the Hyperice Hypervolt Massage Device - Gray,39.99,39.99,,6424000,HardGood,600603270567
Gray,New,4.3,30.0,,"[{'feature': '1 Year JRNY Membership\nIncludes 1-Year JRNY Membership ($149 value; auto renews when trial ends unless cancelled 48 hours prior to trial end date).'}, {'feature': 'JRNY&#8482; Experience\nThis personalized coaching experience analyzes your fitness level and creates daily adaptive workouts that automatically adjust as you improve. Friendly virtual coaching motivates you minute after minute. Choose from a diverse library of workouts. (JRNY Membership required).'}, {'feature': 'Streaming Entertainment\nWatch your Netflix, Hulu, Disney+, Prime Video and HBO Max accounts on the touch screen console while you work out (Streaming service provider subscriptions not included. JRNY Membership required to access streaming service provider apps on console.)'}, {'feature': 'Explore the World\nExplore the world and discover 50+ global routes that auto-adjust in real time to your speed (JRNY Membership required).'}, {'feature': 'Unique Workout Programs\nStay motivated with 100+ unique workout programs and unlimited user profiles on the 10"" console.'}, {'feature': 'Magnetic Resistance\n20 levels of magnetic resistance'}]","Wake up and work out from the comfort of home with the Max Trainer&#174; M9. It&#8217;s the compact, whole-body workout that&#8217;s built for small spaces and designed to help you crush milestone after milestone. The 10&#8221; console delivers built-in coaching software that assesses your fitness level and motivates you to hit new, personalized targets that automatically adapt as you become faster and stronger each day.* You&#8217;ll discover a wide variety of virtual environments, trainer-led videos, and truly addictive workout experiences that challenge you, change you, and continually elevate your overall performance.* You can even access Netflix, Hulu, Disney+, and Amazon Prime Video from the touch screen while you work out.&#8800; Accept the challenge with the Max Trainer&#174; M9. The compact workout that grows with you for years to come.",Bowflex,100943,Bowflex - Max Trainer M9 - Gray,1999.99,1799.99,,6430635,HardGood,708447914613
Gray,New,4.0,1.0,,"[{'feature': 'Stylish, crush-resistant travel case fits perfectly with Yogasleep Dohm, Dohm Classic, and Dohm Uno sound machines (Does not fit Dohm Connect)'}, {'feature': 'Made with durable EVA material and encased with a double-stitched zipper to protect your Dohm from bumps, scratches and splashes'}, {'feature': 'Features a stretchy mesh internal pocket for storing charging cables and accessories'}, {'feature': 'Compact, non-bulky case won&#8217;t take up additional space in luggage or suitcase'}, {'feature': 'Outside carrying loop for travel convenience'}]","This sleek and stylish Travel Case for Dohm Sound Machine helps you safely travel with your sound machine wherever you go. The crush-resistant travel case fits perfectly with the Dohm white noise machines and is made from extra-durable EVA material and features a sturdy double-stitched zipper. (Note: Travel case does not fit with Dohm Connect.) The protective properties of the outside case safeguards your sound machine from bumps, scratches, and splashes. The outside carrying loop makes packing it up easy. Plus, the Yogasleep Travel Case for Dohm is 15% smaller than the competition so it takes up less space in your luggage. Includes an internal mesh pocket for stashing storage cables and product accessories. (Sound machine not included.)",Yogasleep,3700000,Yogasleep - Dohm Travel Case - Gray,16.99,16.99,,6436652,HardGood,036005001261
Gray,New,,,,"[{'feature': 'Stylish, crush-resistant travel case fits perfectly with Yogasleep Rohm and Hushh white noise machines'}, {'feature': 'Made with durable EVA material and encased with a double-stitched zipper to protect your Rohm or Hushh from bumps, scratches and splashes'}, {'feature': 'Convenient pull strap for quick removal of nested sound machine from case'}, {'feature': 'Features a stretchy mesh internal pocket for storing charging cables and product accessories'}, {'feature': 'Outside hanging loop to easily attach lanyard or clip to for travel'}]","This sleek and stylish Travel Case for Rohm and Hushh Portable White Noise Machines helps you safely travel with your sound machine wherever you go. The teardrop-shaped and crush-resistant travel case fits perfectly with the Yogasleep Rohm and Hushh white noise machines and is made from extra-durable EVA material and features a sturdy double-stitched zipper. The protective properties of the outside case safeguards your sound machine from bumps, scratches, and splashes. The Travel Case features an internal pull strap to easily pop out the nested unit without hassle while traveling. Hanging loop on outside of case easily attaches to the Rohm lanyard or Hushh clip. Rubber zipper pull tag features the official Yogasleep logo and branding. Includes an internal mesh pocket for stashing storage cables and product accessories. (Sound machine not included.)",Yogasleep,4005101,Yogasleep - Travel Case for Rohm and Hushh - Gray,14.99,14.99,,6436656,HardGood,036005451011
Gray,New,,,,"[{'feature': 'The Hushh effectively masks noises that may disturb or distract for improved sleep for adults, babies, and children'}, {'feature': 'Choose from 3 soothing sounds: bright white noise, deep white noise, or gentle surf, then set the volume; features a child lock and gentle amber LED nightlight'}, {'feature': 'Stylish, crush-resistant travel case fits perfectly with Yogasleep Rohm and Hushh white noise machines'}, {'feature': 'Made with durable EVA material and encased with a double-stitched zipper to protect your Rohm or Hushh from bumps, scratches and splashes'}]","A white noise machine is a powerful tool in your infant sleep routine and helps baby fall asleep fast and minimizes sleep disruption from the outside world. It creates a constant, soothing sound that helps lull your baby to sleep by mimicking the sound of the womb. Once the baby is asleep, white noise works throughout nighttime or naptime to drown out the random noises that would have disrupted their precious sleep. The Hushh&#8217;s baby-friendly features like a soft LED nightlight, flexible clip, and child-safe locks have made it a parenting must-have and popular registry item. Now, with Hushh, our portable baby white noise machine, we've made white noise even more convenient -- so you can take a familiar and comforting sleep sound with you wherever you go!",Yogasleep,BND1011,Yogasleep - Hushh White Noise Machine + Travel Case Bundle - Gray,40.99,40.99,,6436665,HardGood,036005800116
Gray,New,4.4,15.0,,"[{'feature': 'used for fitness routines\nTo suit your specific exercise program needs'}, {'feature': 'Nonslip, extra-cushioned surface\nProvides comfort and protection to help you hold a variety of yoga poses or for Pilates mat work'}, {'feature': 'Wipes clean with a damp towel\nor quick post-exercise cleanup'}, {'feature': 'Includes Free Carrying Strap\nEasily travel with your yoga mat to the gym or pilates class with the included carrying strap. The easy strapping and light weight feature are added to this mat at no extra cost for easy transport and storage.'}]","Get the ultimate comfort and support during any exercise with the SPRI 12mm thick Pro Mat. With non-slip ridges for superior traction, you will stay put during ab work, toning, stretching, and more. Easily roll up this mat for compact storage and or use the included carrying strap to take it with you to your next workout.",Gaiam,02-71639,Gaiam - SPRI 12mm Pro Fitness Mat - Gray,23.99,23.99,,6440086,HardGood,759026716395
Gray,New,4.6,4631.0,,"[{'feature': 'Water Flosser\nCleans between teeth and below the gumline and helps prevent gingivitis and gum disease.'}, {'feature': 'Proven safe on teeth and gums\nRemoves up to 99.9% of plaque from treated areas and clinically proven up to 50% more effective than traditional dental floss for reversing gingivitis and improving gum health.'}, {'feature': 'Comfortable ergonomic handle with On/Off switch\nProvides easy and comfortable use.'}, {'feature': 'Advanced pressure control system with 10 settings\nLeaves your mouth feeling incredibly fresh and clean.'}, {'feature': '6 water flosser tips\nInclude 2 Classic Jet tips for general use, a Plaque Seeker tip, an orthodontic tip, a Pik Pocket tip and a toothbrush tip to meet a variety of flossing needs. The in-lid tip storage lets you keep the tips neatly contained.'}]","Fight plaque and gum disease with this Waterpik water flosser. Its 10 pressure settings and six included tips let you personalize your flossing process for convenience, and it easily removes plaque to ensure healthier gums. This Waterpik water flosser is easy, effective, and accepted by the American Dental Association (ADA).",Waterpik,WP-117,Waterpik - Ultra Water Flosser - Gray,69.99,69.99,,6444456,HardGood,073950274401
Gray,New,4.1,30.0,,"[{'feature': 'Stylish and UV-Free\nThese mood light sun lamps are not only good for us but they make a fashionable addition to any space while providing the kind of light that our bodies need. The sun lamp is also free of unwanted UV rays'}, {'feature': 'Light Is Essential\nSunlight regulates the cycles of our bodies and our moods. With people spending more time indoors these days, it&#8217;s important to make sure our bodies get what they need, and this daylight lamp is here to shine some light for you'}, {'feature': 'Effective\nThis therapy light provides the recommended 10,000 LUX of brightness to help the winter blues, regulate sleep, improve focus, boost energy and make us feel less sad. The happy light therapy lamp is designed to mimic the colors of daylight'}, {'feature': 'Longer Lasting\nThe LED natural light lamp lasts approximately 50,000 hours -- a longer life than fluorescent bulbs -- and produces uniform, dot-free light that has the same quality of the noonday sun (5500K), full-spectrum'}, {'feature': 'Easy to Use\nOur happy lamp&#8217;s revolutionary, quick one-touch operation makes it simple to use. No complicated settings to mess around with. 3 levels allow you to customize the brightness for the best efficacy and comfort'}]","Circadian Optics is a maker of bright light therapy lamps that mimic daylight. Our designer lamps allow you to get the light you need, right at your desk. Symmetrical and minimalist, Lumine&#8217;s versatile design fits as well in a home as it does in an office. It&#8217;s perfectly square top-to-bottom light panel and integrated stand create a bold, modern aesthetic.",Circadian Optics,LUMINEFBA,Circadian Optics - Lumine Light Therapy Lamp - Gray,49.99,32.99,,6460459,HardGood,011922138887
Gray,New,4.6,102.0,,"[{'feature': 'Pain Relief:\n12 x 24-inch premium king-size Sunbeam heating pad provides extra heat coverage* on large muscle groups to deliver fast, soothing heat therapy for common muscle and joint pain*compared to Sunbeam Standard-Size Heating Pads'}, {'feature': 'Fast Heat Technology:\nFeel the heat in 30 seconds with XpressHeat technology for fast pain relief'}, {'feature': 'Clinically Proven:\nHeat is clinically proven to relieve pain associated with muscle tension and stress'}, {'feature': 'High-Level Heat:\nHeat increases blood flow to accelerate tissue healing and relax sore muscles associated with muscle tension and stress'}, {'feature': 'Premium Digital Controller:\nCustomize treatment with 6 heat settings using the premium controller with backlit digital screen for visibility in the dark; a Heat Meter gradually glows to indicate progress as the pad heats up'}]","This Sunbeam Premium King-Size Heating Pad with XpressHeat delivers fast, soothing heat therapy for common muscle pain and joint pain. The 12 x 24-inch plush, large heating pad is extra long for more coverage on large muscle groups, to help accelerate tissue healing and relax sore muscles associated with muscle tension and stress. Feel the heat in 30 seconds with XpressHeat technology for fast pain relief. Customize treatment with 6 heat settings and optional 2-hour auto-shutoff. Enjoy convenient features such as a premium controller with backlit digital screen for visibility in the dark, a Heat Meter that gradually glows to indicate progress as the pad heats up, and a long 9-foot cord. For optional moist heat therapy, spray fabric with water for deep, penetrating pain relief. The entire flexible, plush hot pad is fully machine washable for easy care&#8212;just disconnect the controller.",Sunbeam,2101069,Sunbeam - Premium Heating Pad with XpressHeat - Gray,39.99,39.99,,6462339,HardGood,053891133050
Gray,New,4.2,48.0,,"[{'feature': 'Portable Pain Relief\n9.5 x 12-inch flexible, cordless heating pad delivers soothing, high-level heat for effective pain relief anywhere and anytime you need it'}, {'feature': 'Rechargeable Battery\nortable heating pad uses a rechargeable, lithium-ion battery that runs for up to 4 hours on a single charge on Low setting'}, {'feature': 'Stays in Place\nRemovable, adjustable strap fits up to 55 inches around for hands-free, targeted heat therapy to the back, arms, legs, or shoulders'}, {'feature': 'Hotter and Faster Heat*\nFeel the heat in 30 seconds and customize treatment with 3 heat settings that deliver Sunbeam Heating Pad-level heat'}, {'feature': 'Clinically Proven\nHeat is clinically proven to relieve pain associated with muscle tension and stress'}]","The Sunbeam GoHeat Cordless Heating Pad delivers portable, soothing heat therapy for pain relief anywhere and anytime you need it. The 9.5 x 12-inch cordless heating pad provides targeted, high-level heat therapy to the back, arms, legs, and shoulders&#8212;whether you're at home or on the go. Just slip the battery unit/heating pad controller into the pad's side pocket, adjust the strap to fit, and enjoy hands-free pain relief. This portable heating pad uses a convenient, rechargeable lithium-ion battery that runs for up to 4 hours on a single charge on Low setting. The pad heats up fast so you can feel the heat in 30 seconds and offers 3 heat settings for customized treatment. The entire flexible, Micromink hot pad and adjustable strap are fully machine washable for easy care&#8212;just remove the battery.",Sunbeam,2094371,Sunbeam - Cordless Heating Pad - Gray,69.99,69.99,,6462341,HardGood,053891127523
Gray,New,4.7,29.0,,"[{'feature': 'Targeted Pain Relief\n23 x 15-inch Sunbeam heating pad back wrap contours to the shape of the back to provide soothing, high-level heat, for effective relief of common muscle pain in the back'}, {'feature': 'Stays in Place\nAdjustable waist strap securely fits up to an 85-inch waist for hands-free use'}, {'feature': 'Clinically Proven\nHeat is clinically proven to relieve pain associated with muscle tension and stress'}, {'feature': 'High-Level Heat\nHeat increases blood flow to accelerate tissue healing and relax sore muscles associated with muscle tension and stress'}, {'feature': 'Easy-to-Use Push-Button Controller\nCustomize treatment with 4 heat settings, using the push-button controller with LED heat-setting lights for visibility in the dark'}]","This Sunbeam&#174; Heated Back Wrap delivers soothing heat therapy for common muscle pain in the back. The 23 x 15-inch luxurious Micromink wrap contours to the shape of the back to help accelerate tissue healing and relax sore muscles associated with muscle tension and stress. The back wrap stays in place with an adjustable waist strap that securely fits up to an 85-inch waist for hands-free, targeted pain relief. Customize treatment with 4 heat settings and 2-hour auto-shutoff. Enjoy convenient features such as an easy-to-use push-button controller with LED heat setting lights for visibility in the dark, and a long 9-foot cord. For optional moist heat therapy, spray fabric with water for deep, penetrating pain relief. The entire flexible, Micromink hot pad is fully machine washable for easy care&#8212;just disconnect the controller.",Sunbeam,2101068,Sunbeam - Heated Back Wrap - Gray,39.99,29.99,,6462342,HardGood,053891133036
Gray,New,4.1,13.0,,"[{'feature': 'Pain Relief On the Go:\nCompact heating pad plugs in anywhere with its USB connector or converts to cordless using Your Own power bank'}, {'feature': 'Plug in Anywhere:\nUSB connector allows you to plug into Your Own power source such as a computer, USB wall adapter, car USB port, or power bank (power source not included)'}, {'feature': 'Convert to Cordless to Move Freely:\nTransform to a cordless heating pad by connecting to Your Own power bank (not included) and storing in the integrated pocket'}, {'feature': 'Compact to Take Anywhere:\n12.5 x 7.5-inch pad neatly rolls to fit into small bags and purses'}, {'feature': 'Hands-Free Heat Therapy:\nAdjustable strap (up to 55 inches) keeps pad in place on back, arms, legs, or shoulders'}]","The Sunbeam GoHeat USB Powered Heating Pad allows you to choose your power source for pain relief on the go. The compact heating pad uses a type A USB connector that is compatible with Your Own power bank, computer, car USB port, or wall adapter (not included). The 58-inch extension cord allows you to move freely and go cordless by connecting to Your Own power bank (not included) and placing it into the integrated pocket. The 12.5 x 7.5-inch flexible pad neatly rolls to fit into small bags and purses. A 55-inch adjustable strap brings secure, targeted heat therapy to your back, arms, legs, or shoulders, and 3 heat settings offer customized treatment. The Micromink pad and adjustable strap are fully machine washable for easy care&#8212;just disconnect from extension cord and power source. Pad must be connected to power source at all times during heat therapy treatment. For optimal heat performance, use a 2A power source",Sunbeam,2142962,Sunbeam - GoHeat USB Powered Heating Pad - Gray,34.99,27.99,,6462345,HardGood,053891155588
